id;deci_intub;stop_ventil;blade_in;insert_tube;blade_out;restart_ventil
1;65;76;80;82;93;98
2;119;150;153;159;163;171
3;115;144;145;154;175;180
4;192;233;235;242;255;268
5;169;187;189;199;206;213
6;110;157;159;169;191;200
7;183;196;210;212;237;243
8;50;0;62;69;80;87
9;119;156;170;187;200;207
10;74;78;86;88;100;109
11;107;107;127;138;159;161
12;59;60;141;153;179;185
13;94;94;111;125;142;147
14;102;104;114;121;131;137
15;89;89;102;108;142;146
15;108;134;141;146;155;161
17;171;212;218;221;265;269
18;109;111;142;147;168;172
19;230;286;293;305;320;329
20;40;38;55;61;76;84
21;64;64;79;85;112;120
22;132;132;141;146;160;184
23;187;268;270;274;295;302
24;81;94;98;104;111;122
25;127;140;147;152;159;163
27;89;142;146;151;160;167
28;126;153;156;158;169;174
29;227;268;272;276;289;295
30;111;169;173;182;190;195
31;94;128;130;138;152;159
32;120;144;149;156;166;168
33;260;318;322;327;336;355
34;238;265;279;282;325;NA
36;93;96;112;120;136;143
38;135;164;180;189;233;247
39;91;109;118;131;145;149
41;107;113;118;126;136;140
